"name","category","size","duration","format","profile","hdr","bitrate","framerate","resolution","audios","subtitles","audio_langs","subtitle_langs"
"The Walking Dead (2010) - S08E09 - Honor [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","3.19 GiB","00:56:48","HEVC","Main 10","-","7000 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E01 - Mercy [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.65 GiB","00:47:10","HEVC","Main 10","-","6997 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E15 - Worth [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","3.26 GiB","00:57:56","HEVC","Main 10","-","6998 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E12 - The Key [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.59 GiB","00:45:59","HEVC","Main 10","-","6998 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E05 - The Big Scary U [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","3.12 GiB","00:55:21","HEVC","Main 10","-","6999 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E11 - Dead or Alive Or [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.57 GiB","00:45:39","HEVC","Main 10","-","6999 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E04 - Some Guy [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.4 GiB","00:41:43","HEVC","Main 10","-","6996 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E10 - The Next World [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.45 GiB","00:49:08","HEVC","Main 10","-","6988 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E13 - Do Not Send Us Astray [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.41 GiB","00:42:53","HEVC","Main 10","-","7000 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E07 - Time for After [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.47 GiB","00:43:56","HEVC","Main 10","-","6999 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E11 - Knots Untie [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.45 GiB","00:47:24","HEVC","Main 10","-","6997 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E02 - JSS Just Survive Somehow [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.46 GiB","00:48:24","HEVC","Main 10","-","6999 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S08E03 - Monsters [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.37 GiB","00:41:11","HEVC","Main 10","-","6999 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E12 - Not Tomorrow Yet [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.52 GiB","00:48:00","HEVC","Main 10","-","7003 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E13 - The Same Boat [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.52 GiB","00:48:39","HEVC","Main 10","-","6997 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E05 - Now [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.45 GiB","00:47:24","HEVC","Main 10","-","6991 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E04 - Heres Not Here [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","3.77 GiB","01:10:31","HEVC","Main 10","-","7000 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E15 - East [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.45 GiB","00:48:24","HEVC","Main 10","-","6997 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E09 - No Way Out [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.52 GiB","00:48:20","HEVC","Main 10","-","6995 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E08 - Start to Finish [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.63 GiB","00:50:39","HEVC","Main 10","-","7002 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E06 - Always Accountable [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.45 GiB","00:47:24","HEVC","Main 10","-","7001 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E16 - Last Day on Earth [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","3.76 GiB","01:10:19","HEVC","Main 10","-","6995 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S01E03 - Tell It to the Frogs [Bluray-1080p][EAC3 5.1][x265]-Silence.mkv","shows","2.85 GiB","00:45:11","HEVC","Main 10","-","8003 kb/s","23.976","1920x1080","[en, E-AC-3, 768 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S01E01 - Days Gone Bye [Bluray-1080p][EAC3 5.1][x265]-Silence.mkv","shows","4.3 GiB","01:07:04","HEVC","Main 10","-","7999 kb/s","23.976","1920x1080","[en, E-AC-3, 768 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S01E05 - Wildfire [Bluray-1080p][EAC3 5.1][x265]-Silence.mkv","shows","2.85 GiB","00:45:14","HEVC","Main 10","-","7997 kb/s","23.976","1920x1080","[en, E-AC-3, 768 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E01 - First Time Again [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","3.78 GiB","01:10:35","HEVC","Main 10","-","6997 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E03 - Thank You [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.46 GiB","00:49:01","HEVC","Main 10","-","6995 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S06E07 - Heads Up [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.46 GiB","00:48:56","HEVC","Main 10","-","7001 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Sopranos (1999) - S05E07 - In Camelot [Bluray-720p][AC3 5.1][x264].mkv","shows","4.25 GiB","00:54:57","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Walking Dead (2010) - S01E02 - Guts [Bluray-1080p][EAC3 5.1][x265]-Silence.mkv","shows","2.81 GiB","00:44:42","HEVC","Main 10","-","7997 kb/s","23.976","1920x1080","[en, E-AC-3, 768 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Walking Dead (2010) - S01E06 - TS-19 [Bluray-1080p][EAC3 5.1][x265]-Silence.mkv","shows","2.86 GiB","00:45:21","HEVC","Main 10","-","7998 kb/s","23.976","1920x1080","[en, E-AC-3, 768 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Sopranos (1999) - S05E05 - Irregular Around the Margins [Bluray-720p][AC3 5.1][x264].mkv","shows","4.0 GiB","00:51:46","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Walking Dead (2010) - S01E04 - Vatos [Bluray-1080p][EAC3 5.1][x265]-Silence.mkv","shows","2.83 GiB","00:44:54","HEVC","Main 10","-","7996 kb/s","23.976","1920x1080","[en, E-AC-3, 768 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[en, PGS, default]","en","en"
"The Sopranos (1999) - S05E11 - The Test Dream [Bluray-720p][AC3 5.1][x264].mkv","shows","3.87 GiB","00:50:01","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Walking Dead (2010) - S06E14 - Twice as Far [Bluray-1080p][EAC3 7.1][x265]-Silence.mkv","shows","2.46 GiB","00:48:39","HEVC","Main 10","-","7001 kb/s","23.976","1920x1080","[en, E-AC-3, 1024 kb/s, 8ch, default]","[en, PGS, default]","en","en"
"The Sopranos (1999) - S05E13 - All Due Respect [Bluray-720p][AC3 5.1][x264].mkv","shows","4.26 GiB","00:55:12","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E08 - Marco Polo [Bluray-720p][AC3 5.1][x264].mkv","shows","4.14 GiB","00:53:31","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E04 - All Happy Families [Bluray-720p][AC3 5.1][x264].mkv","shows","4.08 GiB","00:52:44","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E10 - Cold Cuts [Bluray-720p][AC3 5.1][x264].mkv","shows","4.1 GiB","00:53:02","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E09 - Unidentified Black Males [Bluray-720p][AC3 5.1][x264].mkv","shows","4.55 GiB","00:58:52","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E07 - D-Girl [Bluray-720p][AC3 5.1][x264].mkv","shows","4.34 GiB","00:56:07","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E12 - Long Term Parking [Bluray-720p][AC3 5.1][x264].mkv","shows","4.37 GiB","00:56:34","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E06 - Sentimental Education [Bluray-720p][AC3 5.1][x264].mkv","shows","4.25 GiB","00:55:04","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E02 - Rat Pack [Bluray-720p][AC3 5.1][x264].mkv","shows","4.39 GiB","00:56:46","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E03 - Wheres Johnny [Bluray-720p][AC3 5.1][x264].mkv","shows","4.23 GiB","00:54:39","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E11 - House Arrest [Bluray-720p][AC3 5.1][x264].mkv","shows","4.44 GiB","00:57:28","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S05E01 - Two Tonys [Bluray-720p][AC3 5.1][x264].mkv","shows","4.16 GiB","00:53:45","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E04 - Commendatori [Bluray-720p][AC3 5.1][x264].mkv","shows","4.12 GiB","00:52:25","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E08 - Full Leather Jacket [Bluray-720p][AC3 5.1][x264].mkv","shows","3.32 GiB","00:42:53","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E13 - Funhouse [Bluray-720p][AC3 5.1][x264].mkv","shows","4.66 GiB","00:59:14","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E02 - Do Not Resuscitate [Bluray-720p][AC3 5.1][x264].mkv","shows","3.89 GiB","00:50:21","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E05 - Big Girls Dont Cry [Bluray-720p][AC3 5.1][x264].mkv","shows","4.01 GiB","00:51:55","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E03 - Toodle-F-king-Oo [Bluray-720p][AC3 5.1][x264].mkv","shows","3.92 GiB","00:50:46","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E09 - From Where to Eternity [Bluray-720p][AC3 5.1][x264].mkv","shows","4.36 GiB","00:55:26","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E01 - Guy Walks into a Psychiatrists Office [Bluray-720p][AC3 5.1][x264].mkv","shows","3.82 GiB","00:49:27","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E10 - Bust Out [Bluray-720p][AC3 5.1][x264].mkv","shows","4.59 GiB","00:59:21","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E06 - The Happy Wanderer [Bluray-720p][AC3 5.1][x264].mkv","shows","3.94 GiB","00:50:59","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E06 - Live Free or Die [Bluray-720p][AC3 5.1][x264].mkv","shows","4.24 GiB","00:55:24","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E04 - The Fleshy Part of the Thigh [Bluray-720p][AC3 5.1][x264].mkv","shows","4.44 GiB","00:57:30","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E16 - Chasing It [Bluray-720p][AC3 5.1][x264].mkv","shows","3.86 GiB","00:49:56","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S02E12 - The Knight in White Satin Armor [Bluray-720p][AC3 5.1][x264].mkv","shows","4.73 GiB","01:00:05","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E18 - Kennedy and Heidi [Bluray-720p][AC3 5.1][x264].mkv","shows","4.11 GiB","00:53:06","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E11 - Cold Stones [Bluray-720p][AC3 5.1][x264].mkv","shows","4.35 GiB","00:56:14","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E10 - Moe n Joe [Bluray-720p][AC3 5.1][x264].mkv","shows","4.15 GiB","00:53:41","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E20 - The Blue Comet [Bluray-720p][AC3 5.1][x264].mkv","shows","3.93 GiB","00:50:52","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E17 - Walk Like a Man [Bluray-720p][AC3 5.1][x264].mkv","shows","4.3 GiB","00:55:38","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E09 - The Ride [Bluray-720p][AC3 5.1][x264].mkv","shows","4.18 GiB","00:54:03","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E02 - Join the Club [Bluray-720p][AC3 5.1][x264].mkv","shows","4.18 GiB","00:54:15","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E12 - Kaisha [Bluray-720p][AC3 5.1][x264].mkv","shows","4.57 GiB","00:59:05","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E14 - Stage 5 [Bluray-720p][AC3 5.1][x264].mkv","shows","4.37 GiB","00:56:28","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E05 - Mr. and Mrs. John Sacrimoni Request [Bluray-720p][AC3 5.1][x264].mkv","shows","4.06 GiB","00:52:34","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Sopranos (1999) - S06E19 - The Second Coming [Bluray-720p][AC3 5.1][x264].mkv","shows","4.11 GiB","00:53:10","AVC","High","-","8500 kb/s","23.976","1280x720","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
